::ffff:127.0.0.1 - - [24/Sep/2023:11:00:05 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/117.0"
::ffff:192.168.0.101 - - [24/Sep/2023:11:00:34 +0000] "GET /api/services/my-posts?take=10&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:11:03:59 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:11:04:00 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:11:04:01 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:11:04:01 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:11:04:02 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:11:04:02 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:11:04:20 +0000] "GET /api/services/my-posts?take=10&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::1 - - [24/Sep/2023:11:19:03 +0000] "POST /api/user/update-data HTTP/1.1" 401 22 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:19:29 +0000] "POST /api/user/update-data HTTP/1.1" 500 31 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:22:10 +0000] "POST /api/user/update-data HTTP/1.1" 500 31 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:22:16 +0000] "POST /api/user/update-data HTTP/1.1" 500 31 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:22:49 +0000] "POST /api/user/update-data HTTP/1.1" 400 165 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:22:51 +0000] "POST /api/user/update-data HTTP/1.1" 400 165 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:35:51 +0000] "POST /api/user/update-data HTTP/1.1" 400 243 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:37:04 +0000] "POST /api/user/update-data HTTP/1.1" 400 243 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:37:07 +0000] "POST /api/user/update-data HTTP/1.1" 400 243 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:37:31 +0000] "POST /api/user/update-data HTTP/1.1" 400 488 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:38:36 +0000] "POST /api/user/update-data HTTP/1.1" 400 335 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:38:42 +0000] "POST /api/user/update-data HTTP/1.1" 400 335 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:38:43 +0000] "POST /api/user/update-data HTTP/1.1" 400 335 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:39:02 +0000] "POST /api/user/update-data HTTP/1.1" 400 356 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:39:09 +0000] "POST /api/user/update-data HTTP/1.1" 400 356 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:11:53:07 +0000] "POST /api/user/update-data HTTP/1.1" 200 17 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:48:15 +0000] "POST /api/user/update-data HTTP/1.1" 401 25 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:48:21 +0000] "POST /api/user/update-data HTTP/1.1" 401 25 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:48:30 +0000] "POST /api/auth/login HTTP/1.1" 200 544 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:49:01 +0000] "POST /api/user/update-data HTTP/1.1" 200 17 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:51:23 +0000] "POST /api/auth/login HTTP/1.1" 200 544 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:52:29 +0000] "POST /api/auth/login HTTP/1.1" 200 544 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:53:54 +0000] "POST /api/auth/login HTTP/1.1" 200 544 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:54:06 +0000] "POST /api/user/update-data HTTP/1.1" 200 17 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:54:13 +0000] "POST /api/user/update-data HTTP/1.1" 200 17 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:58:18 +0000] "POST /api/user/update-data HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:58:21 +0000] "POST /api/user/update-data HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:58:43 +0000] "GET /api/user/get-user HTTP/1.1" 200 291 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:58:50 +0000] "GET /api/user/get-user HTTP/1.1" 200 291 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:58:53 +0000] "POST /api/auth/login HTTP/1.1" 200 544 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:58:57 +0000] "GET /api/user/get-user HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:59:20 +0000] "GET /api/user/get-user HTTP/1.1" 200 291 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:18:59:48 +0000] "GET /api/user/get-user HTTP/1.1" 200 291 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:01:03 +0000] "GET /api/user/get-user HTTP/1.1" 200 291 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:01:09 +0000] "POST /api/auth/login HTTP/1.1" 200 521 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:01:21 +0000] "GET /api/user/get-user HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:03:07 +0000] "GET /api/user/get-user HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:03:08 +0000] "GET /api/user/get-user HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:03:17 +0000] "GET /api/user/get-user HTTP/1.1" 200 291 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:19:11:13 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 23 "-" "PostmanRuntime/7.33.0"
::ffff:192.168.0.101 - - [24/Sep/2023:19:16:58 +0000] "GET /api/user/get-follows HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:01 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:01 +0000] "GET /api/user/token-valid HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:01 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:01 +0000] "GET /api/user/get-user HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:02 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:19:17:14 +0000] "GET /api/services/all-posts?take=10&skip=0 HTTP/1.1" 401 25 "-" "okhttp/4.9.2"
